id_legado;cpf;nome;email;cidade;dt_cadastro
2209;891.248.839-21;Luís Souza;luis.souza1209@gmail.com;Curitiba;11/12/2021
3327;94473534103;Válter Ribeiro;valter.ribeiro2327@gmail.com;NITERÓI;01-02-21
3155;62972669215;Patrícia Gonçalves;patricia.goncalves2155@gmail.com;Valinhos;2022-05-30
2056;12327489784;Fábio Souza;fabio.souza1056@gmail.com;Goiânia;17-04-22
4016;76654842715;Patrícia Machado;patricia.machado3016@gmail.com;Belo Horizonte;2022-11-04
1143;412.126.788-50;Maria Silva;maria.silva143@gmail.com;SANTO ANDRÉ;21/08/2022
4489;73614047660;Antônio Assunção;antonio.assuncao3489@gmail.com;GOIÂNIA;01/08/2022
5904;14434249436;Conceição Peçanha;conceicao.pecanha4904@gmail.com;Curitiba;24-03-23
6188;74807666029;Patrícia Machado;patricia.machado5188@gmail.com;Curitiba;05-06-25
13954;927.769.843-83;José Simões;contato4954@hotmail.com;Niterói;2025-02-01
1121;33272795600;Luís Barbosa;luis.barbosa121@gmail.com;Rio de Janeiro;06-09-25
10067;51003076255;Válter Ribeiro;contato1067@hotmail.com;Niterói;19-09-22
6453;858.649.079-28;Célia Ribeiro;celia.ribeiro5453@gmail.com;São Paulo;13-01-20
2570;71830181726;Patrícia Peçanha;patricia.pecanha1570@gmail.com;Sorocaba;2024-11-02
3153;83476790029;Luís Barbosa;luis.barbosa2153@gmail.com;Belo Horizonte;2023-03-26
5297;84380063968;Ana Simões;ana.simões4297@gmail.com;Rio de Janeiro;12-04-20
2476;62796024270;João Araújo;joao.araujo1476@gmail.com;rio de janeiro;16-10-22
5532;29145470561;Antônio Araújo;antonio.araujo4532@gmail.com;campinas;2023-01-08
1685;70562271040;Ana Araújo;ana.araujo685@gmail.com; Santo André  ;03/04/2024
3667;19391460380;José Barbosa;jose.barbosa2667@gmail.com;são paulo;16-09-25
4073;57854576521;Fábio Gonçalves;fabio.goncalves3073@gmail.com; Goiânia  ;31/08/2024
6690;06277271156;Conceição Peçanha;conceicao.pecanha5690@gmail.com;Belo Horizonte;2019-10-03
10516;080.265.893-86;Válter Assunção;valter.simões1516@gmail.com;Niterói;2021-04-12
2062;27147246390;Maria Machado;maria.machado1062@gmail.com;Goiânia;25-06-20
2133;307.538.418-60;João Souza;joao.souza1133@gmail.com;goiânia;14-09-24
1881;203.747.677-93;Ana Simões;ana.simões881@gmail.com;são paulo;2020-02-19
12978;755.737.851-25;Fábio Assunção;fabio.araujo3978@gmail.com;CAMPINAS;14/05/2023
1757;565.290.603-08;João Gonçalves;joao.goncalves757@gmail.com;rio de janeiro;2025-06-01
2741;44999870916;Ana Machado;ana.machado1741@gmail.com;Rio de Janeiro;29/03/2022
2704;22549203674;Ana Silva;ana.silva1704@gmail.com;Campinas;29-08-19
1100;11467866970;Conceição Souza;conceicao.souza100@gmail.com;Santo André;08-03-25
5526;440.342.875-43;Sebastião Simões;sebastiao.simões4526@gmail.com;Campinas;2020-05-26
