num_pedido;cpf_cliente;status;valor_total;dt_pedido;canal
60162;288.431.884-45;PENDENTE;3285.97;08/04/2024;SITE
60201;57260292598;PENDENTE;1.033,80;2024-03-08;marketplace
58880;676.787.905-38;canc;694,96;2024-05-02;site
62301;40654765189;PAGO;562,75;25/06/2024;marketplace
57133;639.975.468-27;pendente;922,01;25/12/2025;app
51790;008.334.187-00;pago ;1918.42;01/10/2025;App 
53229;52302999673;PAGO;1.397,56;29/10/2024;site
62933;34967827497;pg;2956.67;10/08/2025;site
69511;01542270995;ENVIADO;666,18;2026-02-01;app
52876;54756080081;ENVIADO;520.52;2024-07-13;app
68739;17274600303;pago;610,18;23/06/2024;App 
54476;529.537.740-76;PENDENTE;3.137,65;2025-11-13;site
52158;99256311496;pg;3484.11;26/09/2024;site
53178;860.080.179-60;PENDENTE;2780.36;24/10/2025;marketplace
61842;47338484201;pg;2157.26;2024-09-28;marketplace
65470;986.068.144-90;ENVIADO;2753.10;2024-02-21;marketplace
52098;663.110.848-99;PENDENTE;1164.98;2024-04-15;app
62438;61640206116;pago ;951.54;2024-11-15;marketplace
66049;14775688677;PENDENTE;418,26;2026-02-19;app
51301;112.139.511-27;pago;3157.36;01/04/2025;SITE
60205;575.131.838-21;canc;3.077,10;19/10/2025;marketplace
64116;73952328529;PENDENTE;3249.98;2024-12-29;site
50455;05150267511;pendente;1624.62;15/10/2024;site
68742;953.428.364-92;pago ;2139.33;2026-01-02;marketplace
54627;04656896985;enviado;3.330,88;2025-03-02;marketplace
59606;55731492611;PAGO;62,24;18/09/2024;marketplace
59057;18100729050;PENDENTE;3336.59;2024-08-05;app
68253;852.147.959-04;canc;2861.99;2025-07-23;site
51435;20619434899;PAGO;825.96;2026-04-27;marketplace
63878;35599673170;pendente;959,37;2024-03-08;site
63677;14808965860;CANCELADO;404,60;01/05/2026;site
67847;658.668.140-56;Pago;2.763,76;2024-10-16;app
50801;74984746033;ENVIADO;2849.75;2025-10-31;SITE
68265;806.187.001-02;enviado;2126.30;14/02/2025;app
63749;879.150.596-88;pago;197.29;23/12/2024;site
51380;942.965.923-51;pago ;245.70;2025-08-22;app
53332;449.253.058-40;PENDENTE;1.521,83;03/02/2024;app
62432;79986491274;canc;2.183,63;2025-03-18;App 
55922;94409044109;PENDENTE;78,70;19/06/2025;App 
67758;479.554.129-90;ENVIADO;706.32;22/01/2025;site
58974;123.141.421-95;canc;3.015,22;2026-05-19;marketplace
54529;360.960.337-25;pendente;1223.61;2025-04-17;App 
68154;95716468225;CANCELADO;553,34;19/04/2025;app
58241;18696750454;CANCELADO;1.302,13;17/01/2024;App 
64578;42713424755;pago;279,33;29/01/2025;site
52433;052.112.036-59;canc;339.91;2024-11-21;marketplace
66664;71138351474;enviado;897.32;2025-10-21;site
51071;808.147.841-86;pago ;1.138,24;17/01/2026;App 
50523;65084337251;cancelado;373.63;2026-04-26;marketplace
67600;09819205000;enviado;159.58;2026-04-12;app
51251;280.174.546-43;ENVIADO;496,59;2025-04-30;App 
54188;91908976845;pendente;580.31;2024-06-15;app
56981;212.697.486-37;pago;2498.75;2025-03-10;App 
62075;92389862233;canc;1.285,71;2026-05-24;App 
55837;900.002.956-20;pago ;2276.52;21/04/2026;app
57747;108.587.770-10;PAGO;1.053,61;27/04/2025;App 
68781;59881610303;cancelado;3.291,80;2025-05-13;site
61922;616.481.980-66;ENVIADO;316.27;2024-12-24;marketplace
66492;94657770640;pendente;1685.18;09/02/2025;App 
56088;088.640.675-74;PENDENTE;2.185,14;2026-06-09;site
51860;468.356.521-87;pendente;1723.98;2024-01-13;App 
61442;855.660.847-70;pg;759,27;24/02/2026;SITE
68316;514.866.261-14;pg;1979.10;17/06/2024;App 
55709;838.439.106-85;pendente;2.918,37;30/03/2025;SITE
52210;937.597.383-20;ENVIADO;412.43;2026-03-25;App 
50392;473.384.842-01;canc;1010.53;2024-11-09;site
59083;469.871.685-39;pago ;1.352,23;2024-01-19;SITE
67251;474.705.311-57;PAGO;2134.66;25/01/2024;app
61351;37651182570;cancelado;2696.87;20/09/2025;SITE
53166;42547681846;Pago;2942.28;14/12/2025;SITE
52452;990.359.717-79;PAGO;431.26;2026-04-24;SITE
50853;710.564.006-50;PENDENTE;1389.79;08/09/2025;marketplace
50555;565.728.972-22;pago ;1772.26;2024-05-08;marketplace
51857;145.461.574-52;cancelado;1005.41;14/01/2024;site
62526;39225517424;PAGO;358,87;2025-04-26;marketplace
60314;27305816345;PAGO;821,47;21/08/2024;site
51938;48455576650;pendente;532.14;2026-03-09;app
63743;244.547.597-07;pendente;890.75;29/06/2025;app
54216;53667136412;PAGO;542,85;2024-09-04;marketplace
59091;37988900803;PAGO;2.533,22;16/04/2026;App 
65601;69685126704;PENDENTE;263,76;2025-10-31;site
62870;982.870.485-40;PENDENTE;1.460,40;12/08/2025;SITE
64213;436.728.681-91;ENVIADO;3.258,34;21/03/2025;marketplace
57699;47470531157;PENDENTE;1.670,84;04/10/2024;marketplace
50473;791.225.157-04;pendente;1016.73;01/08/2025;site
67672;33775312897;PAGO;102.71;2024-03-15;app
65654;237.032.288-81;pendente;924.03;02/04/2026;marketplace
52554;79422341345;canc;1618.46;14/08/2025;app
50328;03079915470;pg;1.074,06;2025-03-31;site
52990;704.209.776-94;cancelado;34,85;19/07/2025;App 
63282;692.318.314-61;pago ;2779.70;2026-05-28;App 
54752;006.846.428-24;pendente;2266.46;2024-08-13;SITE
57144;25513444844;canc;2272.87;12/03/2024;site
51707;182.812.479-67;ENVIADO;2.550,22;28/04/2026;SITE
60458;751.887.817-86;Pago;1078.06;26/03/2025;SITE
62778;67719023315;pago;3057.77;26/11/2024;app
59547;175.889.144-08;Pago;1.879,89;18/01/2025;app
67517;12007202450;pg;3.029,96;2024-06-10;SITE
51613;453.316.495-14;Pago;1045.79;2024-06-26;marketplace
66504;33458096990;PENDENTE;268,97;14/04/2024;App 
51209;206.380.769-86;pago;2196.93;27/10/2024;marketplace
52905;24449295781;pago ;1206.63;20/03/2026;App 
57731;019.655.698-89;enviado;456,86;25/06/2025;App 
54025;673.538.425-39;PAGO;3.168,84;2025-04-10;SITE
68827;86914803005;pendente;3.278,23;2025-07-26;App 
68989;558.774.526-06;canc;1.101,96;04/12/2024;marketplace
50186;48881079801;enviado;2629.58;26/08/2024;marketplace
65364;930.878.790-96;PAGO;551,54;17/11/2025;app
53923;088.779.515-32;canc;590.89;2025-12-24;site
63263;907.138.456-00;CANCELADO;2.846,45;2025-05-08;app
61577;55475396434;enviado;2.061,82;2024-07-28;marketplace
50978;372.376.604-89;canc;2.967,26;2026-03-29;SITE
63516;82449353402;canc;2.903,18;2025-12-29;site
63319;00453585914;cancelado;2940.58;22/12/2024;SITE
51692;914.785.247-07;ENVIADO;1.519,20;2024-11-26;App 
68499;52302999673;cancelado;1.450,92;2024-10-28;site
60897;917.123.209-55;pago;1.822,62;2025-01-11;App 
51498;739.652.729-50;PENDENTE;636.36;2026-05-05;marketplace
59539;960.193.772-29;ENVIADO;1.266,46;2025-02-11;App 
58515;079.344.696-16;Pago;1.831,37;2025-05-10;App 
54366;33429950848;canc;384,03;2025-07-20;app
61644;118.638.558-82;canc;3021.39;2024-06-01;SITE
60399;63907426657;PENDENTE;1.356,38;16/04/2024;site
63053;201.753.703-97;pendente;557,40;14/03/2026;marketplace
53416;79089843639;PAGO;3242.26;2025-07-27;SITE
69078;74491422362;CANCELADO;3.350,24;2024-04-03;App 
61705;23102655785;PENDENTE;1352.57;2025-04-09;app
67424;938.694.842-76;enviado;2.661,42;2025-12-16;SITE
68922;69246584074;Pago;705.14;2024-03-09;SITE
68741;965.645.539-86;cancelado;746.34;2024-02-14;site
52613;207.266.931-62;pg;3257.88;27/02/2025;marketplace
59489;67851506638;enviado;1130.57;2026-05-23;App 
54152;03456884818;PAGO;1.195,71;2026-04-11;App 
52458;990.525.979-10;pendente;892.60;2025-12-29;SITE
69931;758.692.742-14;canc;1.838,74;2024-09-13;App 
55536;519.020.411-19;pendente;656,12;2025-09-01;marketplace
67000;421.094.380-02;pg;803,57;17/09/2025;app
64818;323.878.250-98;PENDENTE;1199.31;2025-12-22;SITE
65606;770.693.928-69;pago ;302,45;18/08/2025;SITE
64344;83909342485;pago ;174,06;31/05/2025;marketplace
61561;33113277302;CANCELADO;2.078,32;2025-12-04;marketplace
61774;020.891.409-92;PENDENTE;528,74;2026-05-14;SITE
55097;40654765189;canc;310.20;03/04/2026;App 
65973;644.450.742-17;pendente;1.205,29;08/10/2025;app
61516;531.106.092-15;cancelado;3.155,34;11/07/2025;App 
65211;77146502813;PAGO;2672.50;24/02/2024;App 
50221;709.317.069-20;PENDENTE;1.968,70;2024-05-24;SITE
64518;09228849860;PAGO;2.663,18;2026-02-24;SITE
56208;091.881.224-09;pg;3.447,98;26/02/2024;marketplace
60957;853.272.766-27;pago;3.013,11;2024-01-07;marketplace
64348;606.868.663-99;enviado;2685.99;21/08/2025;site
62814;326.312.517-68;PAGO;41.71;28/04/2024;SITE
69923;38350932740;PAGO;1213.17;10/06/2024;marketplace
69822;080.606.050-62;canc;474,42;2024-05-17;marketplace
62052;957.885.685-79;Pago;2813.23;2024-01-16;App 
52599;244.556.523-53;enviado;1140.28;2024-06-20;App 
59694;65349309609;enviado;3.424,35;03/05/2026;site
65194;193.600.608-10;canc;3219.50;27/01/2025;App 
50504;57125672108;CANCELADO;136,94;2026-04-15;App 
64782;32010170270;PAGO;985,99;2024-05-31;marketplace
69793;992.086.750-09;pago ;359,43;2024-03-01;marketplace
67253;58846937104;pendente;646,41;12/03/2024;App 
51544;400.464.087-38;enviado;63,73;06/05/2026;SITE
50876;732.783.969-01;CANCELADO;1263.06;2024-06-12;site
51964;64450300688;PAGO;323,08;2025-12-08;site
67608;93777271543;pendente;989,00;14/04/2025;SITE
55051;63013674997;CANCELADO;512.44;2024-09-17;SITE
69941;442.509.693-20;enviado;2.584,45;2024-12-30;app
61519;481.180.829-03;canc;2736.44;2024-02-08;app
61944;33775312897;pago;2.341,47;2025-12-27;site
57453;39184860600;pago;2.544,69;2026-04-04;site
54235;31325936723;pago;3051.70;04/11/2025;marketplace
52822;11467866970;PAGO;2.917,82;2024-02-01;app
60855;94994018901;enviado;1.098,70;2026-02-08;site
50266;594.592.118-10;pg;1.472,77;14/11/2025;App 
66500;418.016.959-20;cancelado;3132.06;21/04/2026;SITE
50088;54139074434;PENDENTE;981.16;05/09/2025;site
69398;457.181.580-88;ENVIADO;2.003,06;05/09/2025;site
67368;384.535.468-27;PAGO;1160.28;26/05/2024;app
62393;939.720.487-42;pg;633.87;19/08/2025;marketplace
63080;63083977255;pago;841,87;2024-11-12;app
67464;02380617449;cancelado;1596.63;23/02/2025;SITE
57467;17758015867;enviado;785,64;2024-03-23;app
65766;036.873.391-22;PAGO;2.564,46;2024-07-27;site
58345;81721436480;PAGO;862,95;29/05/2025;site
67246;026.012.796-56;pago;2849.86;05/04/2026;App 
54811;976.691.948-80;pago ;1932.68;04/11/2025;app
57979;15131528585;enviado;1602.67;2024-01-28;app
63008;11467866970;pendente;308,42;16/03/2024;app
69459;067.736.852-65;pago ;1597.09;14/03/2024;App 
59944;723.636.285-94;enviado;1.438,55;2026-01-23;app
